Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Sector,Industry,About,Latest Price
AAVAS,2089.15,0.15,1.0,02-Apr-25,Equity,"₹ 16,352 Cr.",29,13.90%,9.91%,Finance,Finance - Housing,"Incorporated in 2011, Aavas Financiers Ltd provides housing loans & advances[1]",2040
ANIKINDS,130.99,2.55,1.0,02-Apr-25,Equity,₹ 363 Cr.,Book Value,0.20%,3.92%,Trading,Trading,"Anik Industries Ltd is primarily engaged in the business of trading of Agri- Commodities, Edible oil & Vanaspati, Property Development, Windpower Generation & others.",108.99
ATCENERGY,101.65,-5.0,,02-Apr-25,SME,₹ 197 Cr.,18.1,39.40%,37.20%,Dry cells,Dry Cells,"Incorporated in 2020, ATC Energies System Limited is a company that operates in the energy sector, focusing on providing energy solutions, products, and services.",83.1
BALAJIPHOS,126.5,19.34,1.0,02-Apr-25,SME,₹ 278 Cr.,53.4,16.80%,16.90%,Fertilizers,Fertilizers,"Incorporated in 1996, Balaji Phosphates Limited manufactures and supplies Single Super Phosphate (SSP), NPK Granulated and Mixed Fertilizers, and Zinc Sulphate.",115
CHAMBLFERT,636.0,2.35,5.0,02-Apr-25,Equity,"₹ 25,265 Cr.",15.4,18.20%,21.30%,Fertilizers,Fertilizers,"Chambal Fertilisers & Chemicals Ltd is engaged in production of Urea from its own manufacturing plants. It also markets/ deals in other fertilisers and agri-inputs. It also has a Joint Venture for manufacture of Phospohric Acid in Morocco.
The company was also engaged in Software business, However, in FY21, it sold assets and transferred certain liabilities of the business to cease the operations of the software business.",636
CURAA,32.95,4.97,1.0,02-Apr-25,Equity,₹ 33.1 Cr.,Book Value,-348%,-24.10%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1991, Cura Technologies Ltd
is in the business of Information Technology, Consulting services, Pharma, and Manpower placement",43.93
GALLANTT,428.0,4.9,1.0,02-Apr-25,Equity,"₹ 10,327 Cr.",27.2,9.63%,12.00%,Steel,Steel - Medium / Small,"Incorporated in 2005,Gallantt Ispat Limited is a leading Iron and Steel manufacturing Company located in Eastern Uttar Pradesh. The Co is engaged in the business of Iron & Steel, Agro, Power and Real Estate.",399
IRIS-RE,7.2,4.65,6.0,02-Apr-25,Equity,Failed,Failed,Failed,Failed,Failed,Failed,Failed,7
JAINAM,248.5,1.02,6.0,02-Apr-25,SME,₹ 273 Cr.,30.6,6.28%,9.68%,Ferro Alloys,Mining / Minerals / Metals,"Incorporated in 2014, Jainam Ferro Alloys Ltd is in the business of manufacturing Ferro
Alloy Metals[1]",256
JSWHL,24545.05,5.0,8.0,02-Apr-25,Equity,"₹ 28,607 Cr.",163,0.55%,0.72%,Finance,Finance & Investments,JSW Holdings Ltd is a core investment company (CIC) and is primarily engaged in the business of investing and financing.[1],23010
MAGSON,126.15,4.99,1.0,02-Apr-25,SME,₹ 104 Cr.,47.9,16.70%,23.20%,Retail,Trading,"Incorporated in 2018, Magson Retail and Distribution Ltd is in the business of retail trade through a chain of stores[1]",125.45
NACLIND,123.14,10.0,15.0,02-Apr-25,Equity,"₹ 2,655 Cr.",Book Value,-8.50%,-0.17%,Agro Chemicals,Pesticides / Agrochemicals - Indian,"NACL is an established player and they deal in both technicals and formulations and they cater to the Indian market and to the international market as well. They have over 50 products covering all major crops. They have a strong logistic presence and the products are sold in more than 55,000 counters. NACL has become one of the reliable contract manufacturers for major MNCs. NACL exports products to over 30 countries and has forayed into International Brand business by registering brands in South-East Asia and Africa and are in the process of expanding reach in these regions.",156.14
RAPIDFLEET,202.45,1.73,5.0,02-Apr-25,SME,₹ 149 Cr.,18.2,50.70%,39.50%,Logistics,Miscellaneous,"Incorporated in 2006, Rapid Fleet Management Services Limited specializes in providing comprehensive logistics and road transportation services.[1]",198
SHRIAHIMSA,147.0,5.0,,02-Apr-25,SME,₹ 360 Cr.,17.2,28.50%,31.60%,Chemicals,Chemicals,"Incorporated in 1990, Shri Ahimsa Naturals Limited extracts and manufactures Caffeine Anhydrous, Green Coffee Bean Extracts, and Crude Caffeine, also trading other herbal extracts.",131.7
TAC,1340.0,-3.61,51.0,02-Apr-25,SME,"₹ 1,365 Cr.",173,57.80%,54.40%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2016, TAC Infosec
Ltd is a global cybersecurity company specializing in vulnerability management[1]",1260
